id,State (group),Charge (group),file matches parameter,Region,Charge/Gender,Country,File,File by parameter,State,Title 1,Year,Year1,All state count,Count,Per state count,state %,FromYear
0,TX,Sex,True,South,Sex,US,State Receipts,State Receipts,TX,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,1991,1991,0.106164018,2021
1,NM,Race,True,West,Race,US,State Receipts,State Receipts,NM,EEOC Charge Receipts by State,FY 2021 Race,1/1/2021,20893,69,69,0.003302542,2021
2,NH,Disability Based,True,Northeast,Disability,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,20,20,0.000875005,2021
3,NH,GINA,True,Northeast,GINA,US,State Receipts,State Receipts,NH,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,0,0,0.0,2021
4,NJ,GINA,True,Northeast,GINA,US,State Receipts,State Receipts,NJ,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,2,2,0.008264463,2021
5,RI,TVII Retaliation,True,Northeast,Retaliation (TVII),US,State Receipts,State Receipts,RI,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,23,23,0.000916079,2021
6,MT,Disability Based,True,West,Disability,US,State Receipts,State Receipts,MT,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,22,22,0.000962506,2021
7,OR,GINA,True,West,GINA,US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2021 GINA,1/1/2021,242,4,4,0.016528926,2021
8,AZ,Disability Based,True,West,Disability,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,546,546,0.023887649,2021
9,OR,Retaliation,True,West,Retaliation (All Statutes),US,State Receipts,State Receipts,OR,EEOC Charge Receipts by State,FY 2021 Retaliation All Statutes,1/1/2021,34316,107,107,0.003118079,2021
10,NV,Sex,True,West,Sex,US,State Receipts,State Receipts,NV,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,280,280,0.014930148,2021
11,HI,National Origin Based,True,West,National Origin,US,State Receipts,State Receipts,HI,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,32,32,0.005154639,2021
12,DC,Disability Based,True,South,Disability,US,State Receipts,State Receipts,DC,EEOC Charge Receipts by State,FY 2021 Disability,1/1/2021,22857,132,132,0.005775036,2021
13,WQ,EPA,True,Territories/Armed Forces,Equal Pay Act,US,State Receipts,State Receipts,WQ,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,0,0,0.0,2021
14,AZ,EPA,True,West,Equal Pay Act,US,State Receipts,State Receipts,AZ,EEOC Charge Receipts by State,FY 2021 EPA,1/1/2021,885,23,23,0.025988701,2021
15,IL,Sex,True,Midwest,Sex,US,State Receipts,State Receipts,IL,EEOC Charge Receipts by State,FY 2021 Sex,1/1/2021,18754,963,963,0.051349046,2021
16,PA,National Origin Based,True,Northeast,National Origin,US,State Receipts,State Receipts,PA,EEOC Charge Receipts by State,FY 2021 National Origin,1/1/2021,6208,288,288,0.046391753,2021
17,KS,Religion,True,Midwest,Religion,US,State Receipts,State Receipts,KS,EEOC Charge Receipts by State,FY 2021 Religion,1/1/2021,2108,18,18,0.008538899,2021
18,AK,TVII Retaliation,True,West,Retaliation (TVII),US,State Receipts,State Receipts,AK,EEOC Charge Receipts by State,FY 2021 TVII Retaliation  Statutes,1/1/2021,25107,32,32,0.001274545,2021
